ano,sigla_uf,id_municipio,tipo_vinculo,vinculo_ativo_3112,faixa_remuneracao_media_sm,valor_remuneracao_media_sm,faixa_etaria,sexo
1991,CE,2304400,2,1,6,5.5,4,2
1991,RJ,3304557,1,0,5,4.02,7,1
1991,SP,3556701,1,1,4,3.14,,1
1991,RJ,3303302,1,1,3,2.94,4,2
1991,RS,4314902,1,1,7,7.16,4,2
1991,SP,3549805,1,1,1,0.54,4,2
1991,SP,3534401,1,1,10,29.34,5,2
1991,RJ,3304557,1,0,2,1.11,6,2
1991,AM,1302603,2,1,3,2.28,7,1
1991,RJ,3305109,1,1,3,2.11,5,1
1991,RS,4308904,1,1,2,1.02,4,2
1991,MG,3170206,1,1,6,5.67,6,1
1991,SP,3521408,1,0,3,2.56,4,1
1991,SP,3506003,1,1,8,12.26,5,2
1991,RJ,3303500,1,0,5,4.32,4,1
1991,SP,3524402,5,1,2,1.61,4,1
1991,GO,5211503,1,1,2,1.22,,1
1991,SP,3550308,1,1,2,1.27,3,1
1991,AM,1302603,1,1,6,5.44,4,2
1991,PR,4118402,1,0,2,1.83,3,1
1991,DF,5300108,2,1,6,5.18,3,1
1991,AL,2704302,2,1,,0.0,4,1
1991,MG,3127701,1,0,2,1.45,5,1
1991,SP,3509502,1,0,1,1.0,3,2
1991,SP,3550308,1,0,9,15.47,5,1
1991,RJ,3304557,1,1,6,6.1,4,2
1991,PR,4119905,1,1,4,3.56,6,1
1991,RJ,3304557,1,0,3,2.77,5,1
1991,RN,2402600,1,1,1,0.99,1,1
1991,SP,3552809,1,0,10,27.08,5,1
1991,RJ,3304557,2,1,6,6.06,6,2
1991,SP,3550308,1,1,7,8.25,7,2
1991,RJ,3304557,1,1,5,4.71,5,1
1991,SP,3526803,1,1,4,3.74,3,2
1991,SP,3548708,1,1,8,10.99,5,2
1991,MG,3106200,1,0,3,2.81,5,1
1991,SP,3550308,1,1,10,24.39,6,1
1991,SP,3534401,1,0,4,3.79,3,1
1991,SP,3550308,1,1,2,1.62,3,1
1991,SP,3550308,1,0,2,1.97,5,2
1991,RS,4307906,1,0,3,2.75,3,1
1991,RJ,3304557,2,1,6,5.01,5,1
1991,SP,3530300,1,0,2,1.96,5,1
1991,SP,3509502,1,1,3,2.98,5,1
1991,SC,4218251,1,1,2,1.2,4,1
1991,SP,3550308,1,1,10,53.09,5,2
1991,SP,3550308,1,0,6,6.92,5,2
1991,SP,3550308,1,0,4,3.67,3,1
1991,SP,3501905,5,0,2,1.12,3,1
1991,SP,3550308,1,1,7,7.31,6,1
1991,SP,3550308,1,1,8,10.01,6,1
1991,MG,3106200,1,1,3,2.24,,1
1991,SP,3550308,1,0,3,2.11,3,1
1991,SP,3552205,1,0,8,13.88,6,1
1991,PE,2611606,1,0,2,1.29,3,1
1991,PA,1501402,1,1,2,1.71,5,2
1991,SP,3518800,1,0,2,1.43,3,1
1991,PA,1500800,1,0,3,2.08,5,1
1991,BA,2910057,1,1,10,37.58,5,1
1991,SP,3549904,2,1,7,9.95,7,1
1991,SP,3550308,1,1,2,1.97,3,1
1991,BA,2927408,1,0,6,5.83,4,1
1991,CE,2304400,2,1,2,1.3,6,1
1991,RS,4314001,1,1,4,3.8,3,1
1991,ES,3204401,1,0,3,2.98,3,2
1991,GO,5217401,1,0,5,4.4,6,1
1991,RJ,3306305,1,1,4,3.36,6,1
1991,RJ,3304557,2,1,3,2.49,7,2
1991,RJ,3304557,1,1,2,1.59,5,2
1991,GO,5208707,1,1,4,3.81,5,1
1991,RJ,3303302,1,1,6,5.52,6,1
1991,RJ,3300209,1,1,3,2.74,4,2
1991,RJ,3304557,1,1,6,5.03,5,2
1991,BA,2927408,1,0,,0.0,3,1
1991,SP,3549706,1,1,2,1.04,2,1
1991,RJ,3304557,1,0,5,4.1,6,1
1991,CE,2304400,1,1,2,1.5,3,1
1991,SP,3518800,1,0,3,2.41,5,1
1991,PR,4113700,1,0,4,3.47,5,1
1991,RR,1400100,1,0,4,3.99,7,1
1991,PR,4122404,1,1,3,2.49,3,2
1991,SP,3550308,1,0,,0.0,3,1
1991,SP,3550308,1,1,5,4.04,3,2
1991,PI,2211100,1,1,2,1.38,5,1
1991,MG,3106200,1,1,4,3.17,5,1
1991,ES,3205200,1,0,3,2.18,5,1
1991,SP,3550308,1,1,5,4.22,5,2
1991,RJ,3304557,1,1,3,2.37,3,2
1991,RN,2408102,1,1,3,2.05,3,2
1991,SP,3534401,5,1,8,13.26,3,1
1991,ES,3203205,5,1,2,1.66,5,2
1991,PR,4122305,1,1,3,2.6,5,1
1991,PA,1501303,1,1,7,8.85,5,1
1991,SP,3523909,1,0,2,1.89,4,2
1991,RS,4314902,1,1,2,1.48,5,2
1991,SP,3550308,1,0,4,3.81,6,1
1991,SP,3550308,1,0,3,2.26,3,1
1991,SP,3550308,1,0,4,3.02,,1
1991,SP,3518800,1,0,2,1.62,3,1
1991,RS,4305108,1,1,5,4.11,5,2
1991,ES,3205200,1,0,2,1.58,5,2
1991,CE,2302701,,1,,0.0,5,2
1991,SP,3550308,1,1,10,26.78,5,1
1991,PR,4106902,1,1,2,1.37,2,1
1991,MG,3107109,1,0,1,0.99,3,2
1991,ES,3205309,1,0,6,5.88,5,1
1991,SC,4214805,1,1,2,1.44,6,1
1991,RJ,3304557,2,1,3,2.32,3,1
1991,BA,2921005,1,0,2,1.68,3,1
1991,CE,2304400,1,1,1,0.99,7,1
1991,DF,5300108,1,0,3,2.49,4,1
1991,SP,3550308,1,0,6,6.4,5,1
1991,RS,4314902,1,0,7,8.03,3,1
1991,SP,3550308,1,1,3,2.49,5,2
1991,MG,3128303,1,0,1,0.81,3,1
1991,SP,3550308,5,1,2,1.96,4,2
1991,BA,2927408,2,1,2,1.52,7,2
1991,SP,3548708,1,0,1,0.61,6,2
1991,MT,5108402,1,0,2,1.5,4,1
1991,RJ,3304557,1,1,6,6.95,6,1
1991,RS,4313409,1,1,3,2.3,3,1
1991,RJ,3304557,2,1,6,6.95,6,1
1991,SP,3548500,1,1,1,0.98,2,2
1991,RS,4308508,1,0,3,2.0,5,1
1991,SP,3524709,1,0,1,0.72,5,2
1991,DF,5300108,1,1,2,1.29,4,1
1991,SC,4211751,1,1,6,5.87,3,1
1991,CE,2304400,1,0,2,1.25,,1
1991,MS,5003801,1,0,4,3.14,3,1
1991,SP,3550308,1,1,2,1.82,5,2
1991,PR,4106902,1,0,3,2.16,3,2
1991,PR,4115200,1,0,8,14.89,6,1
1991,RS,4310108,1,1,4,3.38,4,2
1991,BA,2927408,2,1,5,4.58,6,2
1991,SP,3509205,1,1,4,3.5,4,1
1991,RJ,3304557,1,1,2,1.63,5,1
1991,SP,3550308,1,1,4,3.16,6,2
1991,DF,5300108,1,1,5,4.9,5,1
1991,SP,3550308,1,1,10,20.08,6,1
1991,MG,3138203,1,1,3,2.76,5,2
1991,PR,4125704,1,0,2,1.97,3,1
1991,SP,3550308,1,0,2,1.62,2,2
1991,IGNORADO,,5,0,3,2.84,5,1
1991,SP,3548500,1,0,2,1.11,5,1
1991,SP,3543402,1,1,2,1.28,5,2
1991,SP,3534401,1,1,10,21.28,6,1
1991,SP,3548708,1,0,4,3.79,2,1
1991,MG,3122306,1,0,7,7.8,4,1
1991,SP,3547809,1,1,9,16.66,5,2
1991,GO,5208707,1,1,4,3.08,5,2
1991,SP,3550308,2,0,7,9.3,5,1
1991,PA,1500800,1,1,3,2.63,5,1
1991,SP,3543402,1,0,3,2.35,2,2
1991,RJ,3304557,1,1,8,14.91,5,1
1991,IGNORADO,,1,0,2,1.53,4,1
1991,SP,3550308,1,1,5,4.38,3,2
1991,SP,3518800,1,1,2,1.82,2,1
1991,PR,4106902,1,1,7,8.51,6,1
1991,SP,3523909,1,1,5,4.47,5,1
1991,SP,3526902,1,1,9,16.9,5,1
1991,SP,3550308,1,1,6,5.56,5,1
1991,SP,3502705,1,0,,0.0,5,1
1991,ES,3201506,1,1,3,2.18,7,1
1991,SP,3550308,1,0,3,2.05,8,1
1991,PR,4106902,1,1,4,3.23,7,1
1991,CE,2312908,1,0,3,2.47,5,2
1991,SP,3511508,1,0,2,1.69,3,1
1991,CE,2304400,1,1,4,3.3,5,2
1991,SP,3554003,1,1,3,2.31,5,2
1991,MG,3168705,1,0,6,5.12,5,2
1991,PR,4115200,,0,4,3.46,,1
1991,SP,3543402,1,1,2,1.36,3,2
1991,DF,5300108,2,1,7,7.56,7,1
1991,RS,4314902,2,1,7,9.49,6,2
1991,RJ,3304557,2,1,5,4.18,5,1
1991,RJ,3304557,1,1,4,3.0,4,2
1991,SP,3513801,1,1,2,1.06,6,2
1991,SP,3550308,1,1,6,5.51,6,1
1991,SP,3550308,1,1,5,4.73,3,2
1991,BA,2905701,1,0,5,4.85,8,1
1991,MG,3118007,1,1,6,5.07,6,2
1991,RJ,3301009,1,0,2,2.0,3,1
1991,DF,5300108,2,1,8,13.96,4,1
1991,PA,1508100,1,0,7,8.49,3,1
1991,GO,5219308,1,1,2,1.36,3,1
1991,RJ,3304557,1,0,1,0.87,3,1
1991,RS,4319901,1,0,3,2.45,5,1
1991,MG,3167202,1,1,2,1.09,2,1
1991,RJ,3304557,2,1,8,11.68,5,1
1991,BA,2927408,1,1,10,27.74,5,2
1991,AM,1302603,2,1,4,3.07,4,2
1991,SP,3550308,1,1,7,9.54,5,1
1991,DF,5300108,2,1,8,10.34,4,1
1991,SP,3548906,1,1,6,5.27,6,1
1991,IGNORADO,,1,1,,0.0,5,2
1991,MG,3134202,2,1,3,2.43,,1
1991,RJ,3304557,2,1,,0.0,7,1
1991,PB,2509107,1,1,0,0.49,5,1
1991,BA,2911006,1,1,2,1.0,,2
1991,MG,3149903,5,1,2,1.83,6,1
1991,MT,5103403,1,0,2,1.95,3,1
1991,SP,3525706,1,0,3,2.46,3,2
1991,IGNORADO,,1,1,5,4.29,5,1
1991,RJ,3303302,1,0,3,2.99,3,1
1991,SP,3550308,2,1,10,50.91,7,1
1991,MG,3137205,1,1,3,2.26,5,2
1991,PI,2201200,1,1,,0.0,,2
1991,PR,4113700,1,1,2,1.97,7,1
